,experience 1,experience 2,experience 3,experience 4,experience 5,experience 6,experience 7,experience 8,experience 9,experience 10,experience 11,experience 12,experience 13,experience 14,experience 15,experience 16,experience 17,experience 18,experience 19,experience 20,experience 21,experience 22,experience 23,experience 24,experience 25,std,mean,median
gene 90,645.96267,749.60682,537.69049,321.40374,600.07651,455.87338,687.60544,515.95069,577.07797,531.94139,472.78075,684.19710,547.34244,401.20225,622.14835,310.93742,572.13931,610.63434,788.53133,579.39623,426.21290,502.32226,555.77957,584.78845,621.35248,114.43429,556.11817,572.13931
gene 91,1650.35600,1697.26914,1882.89617,2129.86918,1160.59790,2014.61200,1418.59419,1564.49142,1914.44933,2494.76340,1614.60896,2092.08465,1308.35988,2275.05424,1824.86796,1457.74578,1393.32743,1606.14463,1295.82429,1714.28118,1346.71124,1357.12316,2038.34998,1838.17394,1879.80214,332.92966,1718.81433,1697.26914
gene 92,980.70179,1325.14943,1249.61364,1129.05523,1376.55028,1136.55734,1425.01925,1410.86750,1508.27831,1472.45304,1408.69014,1531.59853,1573.45114,1324.57638,1263.32659,1358.78526,1456.38789,1560.91565,1595.86388,1736.96554,1799.65290,1516.89801,1464.24495,1380.25539,1609.86767,181.92217,1423.82903,1425.01925
gene 93,1405.25647,1440.39032,1365.22545,1612.98000,1397.99389,1454.35230,1477.83926,1671.95054,1335.27797,1390.51141,1123.43717,1810.79442,832.36417,1647.59650,1669.03670,1266.93766,1132.38567,1446.63253,1783.68941,1264.05312,1203.92350,879.36862,1282.18369,886.09551,1482.21614,258.17028,1370.49970,1397.99389
gene 94,1678.50598,1799.44069,1326.49464,1731.83619,1380.98860,1678.74123,1588.67545,1544.01513,1778.69496,1257.68497,1192.26407,1559.12568,1104.53679,1563.55779,2047.95086,1718.15142,2003.80939,1763.74350,1809.04203,1568.57300,1408.87585,1520.14133,1677.03013,1201.39334,1504.04819,237.60974,1576.29285,1568.57300
gene 95,228.03405,175.55091,167.21080,186.09852,226.08019,288.53105,167.84520,278.62835,285.02172,322.72257,184.26949,231.42421,239.34741,234.70282,270.99573,192.36301,241.63386,173.03085,252.49921,234.52349,177.12773,273.06525,198.25446,271.00862,324.98870,47.10738,232.99833,234.52349
gene 96,935.30087,1520.75275,1145.53685,1192.06894,1647.61833,1737.99829,1141.76928,1227.95090,1823.86868,1269.67078,923.84506,880.36248,1294.50384,1524.40738,1502.23128,692.60018,1475.04619,1279.19741,1363.86626,1016.25394,1264.05230,1186.44863,1796.02938,961.88716,1842.97143,309.67728,1305.84954,1269.67078
gene 97,575.15327,503.04188,425.91195,311.88612,410.25336,562.18226,588.44506,487.61846,411.79266,612.22863,490.29935,539.70244,482.71585,398.34561,440.04541,423.80628,369.87433,350.86203,482.57277,364.00867,435.12564,556.55638,341.11478,421.59480,443.81874,80.63523,457.15827,440.04541
gene 98,1227.21430,1574.19430,1547.90963,1388.04109,1298.12505,1224.14654,897.79969,936.43261,1076.90530,637.46436,1438.86371,1265.26201,1041.64605,1169.97808,1279.25204,884.24993,1378.81119,1505.52684,958.71030,1051.83917,832.79381,1332.51117,1300.20447,1006.66990,1166.22017,235.46271,1176.83087,1224.14654
gene 99,1659.96199,1684.51603,1739.34457,1634.72400,1158.63816,1473.75560,1275.53392,1827.08446,1623.22415,2094.45897,1156.47536,1343.04179,893.24886,1465.56521,1165.77746,1663.61849,1675.41805,1239.26250,997.97841,1574.74704,1048.50040,1807.76737,1302.73285,1009.91747,1360.71318,301.76933,1435.04025,1465.56521
gene 100,611.43983,653.62027,718.18986,453.63459,705.55269,937.48616,782.39859,880.32029,618.71174,764.11298,652.99248,727.28925,847.93479,500.32683,720.36221,736.07611,870.71882,707.95457,842.52482,862.85591,570.86947,755.30338,347.76234,876.69516,852.34917,142.58738,719.89929,727.28925
gene 101,1233.40418,1359.64448,1813.85382,1273.03810,1830.26288,1397.77280,1254.28315,1446.99679,1411.09381,1381.31167,1043.26952,957.27176,1222.92314,1905.09008,1543.97086,1340.16985,984.07204,1610.26358,1496.91577,1308.06123,1702.19435,1007.86856,1457.09745,1410.16466,1388.62432,248.31897,1391.18475,1388.62432
gene 102,81.45071,109.39298,125.34238,121.22930,112.35621,115.90848,84.45689,129.50552,101.95957,92.63795,95.14173,108.51834,140.73601,108.99020,87.97803,95.55675,86.96192,100.42936,88.30269,103.77545,89.53296,121.73101,115.02761,101.92598,74.53999,16.16640,103.73552,101.95957
gene 103,454.41219,598.92763,610.05698,640.52193,557.94400,526.08207,556.95925,600.53051,646.70397,538.28090,642.88898,417.97531,688.38159,710.26739,583.98159,603.65205,566.86917,513.02775,487.92016,501.07413,597.98364,445.50374,448.17607,650.71648,667.19754,79.02167,570.24140,583.98159
gene 104,1253.04224,878.49844,736.69714,1046.21644,853.49968,1165.28883,1148.15800,739.87321,932.78446,727.39627,1240.63022,1139.10674,690.24052,1165.17784,1143.66698,1164.58213,1452.82246,1096.24674,1099.63058,1286.58846,1247.17905,899.03925,1324.00564,885.98111,1216.57713,206.32550,1061.31718,1139.10674
gene 105,1501.42452,1569.84124,1329.95667,1834.00094,1185.70970,1611.46385,1638.72842,732.70597,989.72261,1482.23456,1554.17032,1450.70799,1793.04309,902.90619,857.75514,1914.11413,1464.20374,1443.70132,1256.99233,1644.62451,1804.07872,1614.02888,1422.82659,2269.80470,1429.63972,342.03245,1467.93543,1482.23456
gene 106,486.52500,494.46841,448.68044,658.51254,356.60781,395.25779,392.23502,641.29689,394.78215,504.21089,542.32912,382.33894,564.85333,591.26835,557.78305,482.75059,405.04553,628.77210,531.37039,451.76140,428.51943,431.40000,487.49677,481.48421,508.74383,82.64373,489.93976,486.52500
gene 107,1284.10192,1453.04955,1886.77542,2140.01554,1525.56652,1761.35549,1704.85260,1692.61306,1604.07239,1396.97763,1545.31727,1742.14052,1196.56114,1328.91151,1616.53106,1599.46488,1273.35718,1964.68248,1619.73196,2028.09985,1724.22791,1413.74853,1463.02545,1478.22253,1386.08086,236.55903,1593.17933,1599.46488
gene 108,257.58152,331.06842,229.58256,267.87976,187.45664,238.58651,291.04787,359.83753,368.24755,218.37243,320.57025,337.77088,327.43440,190.76191,325.24562,327.90903,399.89818,219.97828,215.42105,361.81903,222.51744,307.43482,318.61666,394.89671,283.79570,62.48726,292.14923,307.43482
gene 109,53.02692,53.71369,67.42333,92.08878,77.34233,62.21417,62.95811,62.40243,63.52041,55.37808,66.77480,70.12594,64.33006,64.71938,62.33817,66.01745,77.80267,62.11157,71.62695,67.64088,76.13643,41.48464,61.14288,69.16225,70.93340,9.52822,65.69663,64.71938
gene 110,911.85551,1352.96319,1099.22705,1019.87999,875.48756,1011.95415,591.93203,1018.76732,1331.39587,1256.14590,854.08735,1302.35753,881.46256,1113.53555,1216.48513,1105.07887,964.29469,926.05200,1199.46347,840.16474,1353.15616,1060.11622,877.17924,970.31109,1096.13138,185.82322,1049.17938,1019.87999
gene 111,106.33255,103.00564,98.54330,83.69159,107.04973,103.91436,62.89567,110.37351,78.32043,135.27420,101.14090,85.30027,93.42469,96.49902,111.21912,92.53209,108.87735,125.42721,92.43500,121.09594,77.14914,98.54982,131.81664,112.72186,83.42713,16.99222,100.84069,101.14090
gene 112,261.18806,323.51735,245.31521,245.34173,185.58250,142.99440,267.27480,180.23087,228.37985,336.12624,221.05986,235.49415,205.74807,232.92071,289.47429,271.67605,355.06310,209.95054,289.77872,334.39660,299.88185,226.64816,278.18951,339.53884,272.55596,53.35423,259.13310,261.18806
gene 113,2306.99121,1888.80950,1088.98054,1932.22097,1432.95247,1858.34293,1706.76603,2115.78015,2206.42639,2459.50870,1754.60915,1524.33533,1374.88757,1679.78028,1083.00343,2190.42743,2348.16987,1759.87189,1549.29661,1445.53800,1514.10288,2516.59242,1311.40662,1528.97569,1899.70571,398.56783,1779.09927,1754.60915
gene 114,1297.19526,1709.94803,1525.60768,1119.47240,1051.61994,1345.42114,1579.56718,1318.67710,924.46553,825.75978,1404.02551,1543.10370,1361.93563,1367.73735,2063.27829,2022.75372,576.47480,1814.07927,1181.69586,1732.97019,1115.85509,971.19955,1307.04143,1446.75909,1389.91568,347.23985,1359.86237,1361.93563
gene 115,1043.15903,978.36765,1512.90362,1480.99079,1161.17163,1761.51935,1521.34115,1283.45198,1662.26887,1169.26436,1254.47108,1575.23720,1278.13725,854.65251,1194.59594,1363.88256,1049.17910,1445.78695,1263.74416,1592.20095,1734.88332,1062.23834,1476.89989,1750.81224,1357.01875,249.23328,1353.12715,1357.01875
gene 116,286.55095,390.68995,366.06154,419.30201,262.00011,346.66319,496.50235,328.95208,489.04621,397.79814,382.29627,368.09214,542.33932,500.60732,378.81849,572.55608,496.42043,366.42088,390.05593,494.49014,453.60527,408.44327,453.05766,441.24106,297.50722,78.40337,413.18072,397.79814
gene 117,1827.32988,1877.18368,1528.03293,1658.24540,883.43276,1701.04555,1377.36588,1408.85659,1636.09583,1835.12585,1729.79807,1406.93299,1471.78991,1136.95979,1483.19494,1885.85512,1539.95110,1486.44469,1361.03058,1957.79636,2241.66905,1641.60295,1716.78462,1242.56440,1448.39040,279.46950,1579.33917,1539.95110
gene 118,1888.82384,2222.90209,1517.13296,2273.42043,1549.02601,1626.26525,2124.91271,1462.24364,1774.01692,1886.76588,1379.21420,1812.92036,2326.77488,1574.81408,1249.15212,1772.46376,1844.29868,1690.67530,1233.84656,1391.04785,1843.04810,1704.69362,1987.42162,2271.63918,1378.79573,316.87244,1751.45263,1772.46376
gene 119,1821.83080,1871.93137,1095.20396,1943.00719,1407.87039,1977.14578,1791.53325,1790.88079,2255.33964,1807.42807,2104.55734,2016.71637,1833.56652,1887.52844,1858.89151,2085.44852,1822.72699,2108.12539,2149.93961,1563.56368,1457.05243,1422.26815,1332.38576,3176.94557,1776.05707,385.98211,1854.31778,1833.56652
gene 120,689.17646,541.30072,754.35911,808.86221,435.31035,586.02502,584.11190,567.04027,572.06707,613.16782,619.17402,578.10469,673.06287,709.24191,573.95583,693.67898,311.59236,608.76073,531.49296,544.70236,560.13303,648.19981,524.18876,585.17116,642.50174,97.70262,598.21529,585.17116
gene 121,1268.71879,997.59939,1525.39630,1031.74127,1625.56184,1587.05407,1478.23012,1410.96614,1248.93776,1271.86685,1609.21740,1188.85974,1325.20526,1408.77467,1051.01548,1440.08300,1356.00090,1588.93124,1479.90475,2083.03879,1616.12932,1571.93915,1749.60023,1141.33290,897.52450,261.35208,1398.14519,1410.96614
gene 122,1810.38632,1573.54221,1568.93908,1183.67137,1482.41242,1716.30451,1276.76155,1618.06180,1343.45525,1242.09265,1498.57735,1177.38573,1674.68630,1386.70092,1437.50346,1185.67176,1584.50851,1320.21288,1194.23002,1540.69297,1523.59053,1230.94514,1108.91704,835.50394,1568.29983,221.96070,1403.32214,1437.50346
gene 123,688.20220,977.75136,618.21552,516.71323,581.82988,780.32436,763.91620,704.12790,663.47824,718.02519,649.48307,543.00913,569.86110,760.67470,683.93401,701.67167,724.86915,745.91939,733.27453,883.55446,630.35845,569.69487,687.46561,506.63348,744.83276,106.91565,685.91282,688.20220
gene 124,187.80651,173.60948,141.94533,197.24366,227.81356,166.81829,196.29073,102.80284,209.02258,193.21072,193.12838,197.68385,238.18698,188.34521,155.62939,214.30649,143.28158,171.71015,114.94782,183.77709,210.49735,140.17438,176.89149,181.78278,212.04453,32.53590,180.75805,187.80651
gene 125,2042.40274,2196.05467,2490.85608,1979.55554,1515.59912,2274.14361,2337.37145,2005.17202,819.17762,2708.53892,1674.73205,1775.21013,1777.44450,1950.26518,2687.15101,1378.77551,2297.50786,1812.29426,2338.14091,2197.55019,2331.53426,2434.27068,1611.64645,1616.19702,2408.77035,433.19403,2026.41449,2042.40274
gene 126,1445.39184,1580.27039,1414.46941,1616.48590,1665.14047,1613.97719,1595.47820,1908.11397,1498.66956,1540.99055,1348.48536,1071.58821,1862.79034,1924.51103,1924.25274,1590.20238,1350.74476,1387.96791,1601.29294,2616.91067,1169.89754,1578.92610,1837.55567,1973.78434,1854.69450,306.20363,1638.90368,1595.47820
gene 127,1413.71908,982.62918,912.34692,1170.96358,855.46013,1331.57643,1337.39388,1071.94792,1109.28095,1121.56739,1139.69546,1049.44619,1088.79258,1068.56182,1003.82801,1189.74186,1355.14655,1053.85775,1173.23954,1463.97987,1251.14988,1103.88313,1698.62838,1368.87617,827.91959,197.04489,1165.74529,1121.56739
gene 128,639.34824,644.63371,823.05571,609.02513,522.67617,726.40389,781.22349,586.73448,729.36904,801.66003,466.72466,870.18868,616.14193,813.07138,590.01519,751.83725,393.41974,838.43519,852.23134,456.37391,644.16404,812.13279,579.87202,940.81317,543.25504,142.90493,681.31225,644.63371
gene 129,1776.26471,1622.97066,954.88785,2093.92927,1218.16492,1325.45959,1225.11223,1788.19073,1595.19307,1454.26324,1363.15061,2178.16675,1302.07808,1196.45889,1616.16283,1160.85066,1008.65779,1403.71245,1676.07170,1442.19804,1767.84630,1774.64996,1355.22332,1191.53736,1332.89422,304.46271,1472.96381,1403.71245
gene 130,514.86300,725.26306,657.88235,836.57939,589.92462,606.01951,516.35022,644.05393,527.80127,564.83508,529.33020,649.78005,602.12564,842.88141,672.38372,546.30279,553.55253,400.73582,434.30348,909.13536,630.52917,540.55892,625.49280,531.92287,582.36220,117.49233,609.39878,589.92462
gene 131,702.69998,618.33729,665.75204,529.00314,464.27356,573.76731,531.47174,496.02765,567.06120,368.12267,633.65261,424.72338,371.57598,509.38198,568.33218,248.00973,431.96366,568.68081,519.03844,494.14695,495.68576,632.88920,413.31434,621.97257,461.39558,103.11829,516.45119,519.03844
gene 132,1389.72441,1487.09588,1605.35620,1552.33747,1956.98522,1709.31070,1547.22588,2032.95915,1885.92948,2114.49183,1440.59702,1754.63915,1575.27481,1276.30174,1746.45156,1998.68735,1919.41146,1285.49864,1988.38908,1424.31498,1761.91459,1459.27022,916.28125,1612.87217,1468.89834,279.34303,1636.40874,1605.35620
gene 133,1267.88084,1633.19307,1633.78255,1727.34903,1663.12675,1760.06251,1403.91794,1506.25682,1650.42044,1620.93095,1585.97105,1834.15207,2289.10874,1344.02305,1804.98919,1667.36100,1520.72896,1767.34276,1803.24742,1421.60066,1278.67093,1918.34096,1948.05714,1506.48711,1359.49678,229.49601,1636.65995,1633.78255
gene 134,137.91972,136.07452,148.18613,96.43210,162.09734,147.80861,128.18592,167.29139,150.36492,167.75641,129.60826,122.67086,95.88205,146.28460,128.92766,121.85945,139.93755,133.83313,123.83439,116.52944,113.09560,125.45175,135.42554,116.79945,125.40377,18.29791,132.70642,129.60826
gene 135,668.55323,540.77946,654.50251,609.86832,794.04349,853.92317,942.05304,791.29335,1088.60287,766.39015,755.32366,631.12146,469.06820,946.71830,825.47364,712.05966,665.77476,750.87515,902.32571,459.24508,702.68032,603.33120,752.36079,809.66987,876.45391,147.13446,742.89965,752.36079
gene 136,392.05969,340.89473,439.45922,425.75027,396.13696,552.42385,359.36113,406.95236,407.02182,407.67992,350.71949,367.44139,374.74167,471.47354,355.17988,381.87476,450.82133,330.88526,402.68877,389.00652,368.65615,423.83340,389.60869,311.76595,500.79804,52.72438,399.88939,392.05969
gene 137,669.62138,517.28809,546.31648,708.66152,720.58060,529.34711,746.43513,787.75156,607.50772,526.34281,766.60544,625.14944,641.79255,482.53386,686.38561,736.89939,590.44383,856.14774,722.63437,569.52549,682.70567,697.35703,433.96327,772.23454,437.21025,112.22836,642.45764,669.62138
gene 138,1225.19630,1637.57833,1159.22192,1368.88142,1513.56824,1269.56109,1229.93318,1086.79391,1237.25969,1852.39163,1211.85154,1106.23516,1315.60975,1429.41236,1491.49245,1213.45947,1243.91311,1342.07836,1064.06762,1071.39705,1279.27164,1482.97189,1329.24687,1190.81236,1270.18136,180.70695,1304.89547,1269.56109
gene 139,1524.58351,1354.12295,1253.33112,1109.86845,1081.93563,1415.82734,1257.38113,1513.11284,1398.77964,1731.27292,1271.38865,1317.10470,1235.72892,1652.76786,1424.75132,1421.00612,1291.42861,1342.90423,938.45518,1292.04701,1253.91840,1714.89166,1161.25754,1555.09229,718.86460,224.77641,1329.27290,1317.10470
gene 140,2475.61527,1701.55700,1970.70730,1795.94840,2210.31670,1785.92975,2054.08901,2220.12264,1556.79110,2017.98793,1907.91919,2030.15227,1842.65847,1908.32377,1928.50557,1562.70744,1867.67435,1935.82371,2538.53704,1014.23828,1948.52053,1323.89235,2043.59785,1953.96500,1899.87125,312.48289,1899.81809,1928.50557
gene 141,687.52929,983.92587,836.72142,885.87229,815.02485,1018.00004,607.60122,714.11683,907.25322,920.27188,785.94594,780.50640,767.22370,558.41185,929.92645,1097.25958,1032.30868,900.85027,788.02717,814.49568,492.08811,430.11398,803.35079,940.99927,671.68023,163.69470,806.78020,814.49568
gene 142,1501.70998,1679.94518,1291.39241,1496.79743,1472.74927,1590.21273,2112.16957,1379.95263,1631.98754,1712.78591,1544.24803,1142.94845,1800.52775,1619.36090,1812.77442,1470.28823,1182.42383,1600.35003,1237.84811,853.62012,1830.83830,1756.71945,1775.79136,1328.32202,1076.90934,277.14542,1516.10692,1544.24803
gene 143,397.78532,281.86426,277.64706,359.12069,342.08360,360.67178,167.97290,375.99362,254.01523,281.67552,350.74598,375.77241,392.59899,370.47608,372.06318,374.05249,261.32530,323.60638,293.86515,320.09103,258.33329,385.38315,233.01877,426.89841,369.60828,61.48490,328.26675,350.74598
gene 144,210.31137,137.37336,172.42510,222.80798,202.44117,131.05342,162.30407,156.99098,142.58507,169.69983,208.16041,184.42967,207.79917,178.51654,186.53932,104.96209,118.05386,141.86855,181.20078,145.54214,175.18790,119.53354,223.44535,173.60426,198.50930,32.96721,170.21381,173.60426
gene 145,1368.05506,1751.35948,1479.46219,1450.54023,1578.45993,1379.58329,1512.86982,1452.38708,1273.25681,1498.43242,1344.95008,1650.93099,1357.51903,1521.75521,1965.96320,1023.01684,948.33708,1266.61200,1486.00407,1728.03733,881.66268,1403.03420,1278.13157,1789.66267,2184.03095,285.63388,1462.96217,1452.38708
gene 146,319.28741,266.16220,256.00443,280.05244,293.80888,213.70592,225.31896,269.07270,229.35122,201.77345,277.15634,327.33262,286.18711,273.24132,265.93922,304.45478,244.22404,172.97532,240.38691,222.86513,226.09128,189.45077,211.36927,250.61581,245.72533,38.58541,251.70211,250.61581
gene 147,316.46459,371.37295,266.05313,202.17769,354.94059,394.25250,200.44092,221.85883,255.34370,261.24771,289.09776,242.93353,201.09358,247.20091,271.09598,266.40890,230.75347,230.67960,176.44185,269.17861,292.58304,247.89356,208.49143,355.27329,275.95506,55.51729,265.96933,261.24771
gene 148,625.36619,634.84751,627.32257,408.80346,380.58734,451.20622,619.79739,590.79467,526.82341,698.05650,607.89166,635.26065,518.97853,426.47599,566.46057,775.16211,427.22507,623.46613,530.52102,501.90369,647.37399,742.42099,610.64773,433.60783,624.26456,103.35408,569.41063,607.89166
gene 149,101.62123,120.17696,85.41069,106.41888,81.48321,112.32989,90.74465,83.47212,104.66019,80.52213,70.64020,126.42951,109.21987,75.01708,114.68099,119.18239,133.71948,111.62378,96.99026,89.42513,93.60598,139.44562,101.87447,106.88139,118.45732,17.81452,102.96134,104.66019
gene 150,211.14356,287.68999,305.95476,172.83472,248.92011,231.07587,353.47476,222.73820,269.00610,301.96600,302.15437,232.61467,284.12721,259.29105,269.48227,244.12333,258.82376,289.29527,224.55355,342.60540,250.45785,232.04268,246.47626,289.99276,240.86387,40.14862,262.86833,258.82376
gene 151,1735.80305,2076.94569,2312.76695,1921.75386,1804.16399,2026.97138,2715.16968,1846.39400,2357.38077,2285.63229,1825.34665,1550.79725,1945.47169,2199.89877,1802.02440,1531.51353,2192.49329,1368.74931,1509.09834,989.78774,2445.50155,2021.89136,2082.98711,2179.53383,2023.05591,367.16578,1950.04530,2021.89136
gene 152,1637.19656,1306.64998,1574.93013,1644.16063,1374.61932,1217.62097,1034.78748,1408.34448,1086.15339,1705.44264,1644.41803,1366.72992,1516.94533,890.42774,2121.55074,1383.02596,1581.78942,1602.09531,1031.16362,1534.39594,1241.94456,1287.24485,1244.61543,1526.67894,1073.01715,266.99804,1401.43794,1383.02596
gene 153,555.71986,539.92521,507.51874,746.04294,515.57209,545.98950,404.31099,438.88532,713.99222,588.29662,920.17428,908.49781,471.43473,710.02181,806.55360,703.50117,555.18720,457.44802,506.32561,638.26632,406.95916,546.02064,580.33132,698.20310,848.80518,147.41927,612.55934,555.71986
gene 154,2467.83475,1760.96138,1864.50851,2347.75674,2319.43495,2192.94478,1491.39303,2396.85336,2251.34834,2213.55893,1886.11938,2272.75606,1275.67114,2143.33212,1983.48910,1691.42359,1388.59175,2647.02196,1856.37285,2368.59023,1001.52169,2102.31234,2417.78068,1813.53536,1769.57945,401.30419,1996.98770,2102.31234
gene 155,388.47207,360.48576,310.08768,446.19505,334.52341,380.72472,372.59459,497.96616,269.96897,573.77429,438.69486,362.22140,395.90932,600.93442,551.36754,435.16407,314.86602,371.05682,369.42619,219.26246,700.59216,472.36694,146.04319,485.22528,238.08136,122.75046,401.44019,380.72472
gene 156,1582.27717,1297.03521,1845.12613,2067.12989,1739.38783,1927.98504,1945.29287,2140.25754,1139.46103,1117.30510,1452.06771,2014.22541,1815.94787,1599.05060,1668.91924,1550.82652,1438.12262,1035.46874,2039.33363,1630.50657,1403.69251,1407.76204,1722.71883,2317.56786,1778.80163,326.48074,1667.05078,1668.91924
gene 157,280.35416,348.22738,400.28673,352.12925,334.03577,409.36003,245.07220,265.58727,306.96483,292.11091,378.00569,256.47906,387.85478,310.59009,273.47907,265.34389,364.49949,349.21906,320.56720,276.24571,353.64267,184.63520,254.89410,389.81790,285.38284,56.13570,315.39141,310.59009
gene 158,526.04920,676.40837,1072.35490,938.08273,1026.23946,1107.65052,913.83690,692.24533,654.34968,1024.26281,929.33186,765.55576,777.38559,860.72525,747.56829,922.02819,989.56608,1007.01421,810.94488,842.02286,622.60207,781.53964,825.62032,749.43625,866.24453,146.19541,845.16263,842.02286
gene 159,922.58000,1273.12647,792.53371,1026.47339,1029.20555,937.45701,1181.17646,1026.74095,1200.88545,826.82491,916.31152,1434.11226,1024.91213,852.97111,721.09681,974.45688,1136.97075,701.37246,1172.27857,984.55155,680.40135,1241.43687,1220.92836,557.44201,948.50827,207.15956,991.39019,984.55155
gene 160,1575.86413,2025.17531,1629.29024,1931.38265,2196.75538,1750.62699,1487.49801,2044.05532,1488.48101,1236.34610,2074.45920,1623.75767,1659.12431,1778.43940,1633.15584,1730.05284,2378.70256,1678.78726,1619.55615,1951.06764,1546.99348,1907.12018,2226.76404,1493.94502,1752.36295,267.10699,1776.79055,1730.05284
gene 161,701.90573,1233.98732,1530.94071,939.81782,1068.24914,722.80743,1218.69144,1021.60246,1024.41931,836.96759,1257.06219,1033.13293,920.10041,1008.63513,1315.90319,967.12531,969.29050,1065.25949,1265.45813,1146.92288,961.76520,1012.59156,1179.02071,901.75806,982.88402,182.78864,1051.45195,1021.60246
gene 162,1015.43223,1291.60303,1985.48219,1180.88655,1792.56464,1527.88914,1232.06465,1876.57314,960.65782,1449.44033,1870.27993,1646.47587,1356.69325,1493.38270,2011.69923,1453.19893,727.90709,1585.41208,1623.69185,1152.10940,993.81164,1420.05506,1137.79995,1147.14365,1143.11757,334.82071,1403.01488,1420.05506
gene 163,560.76625,598.71481,435.20927,611.53852,531.82454,495.14742,515.73557,849.19092,586.97599,390.53998,327.48866,519.53756,602.47764,804.18150,617.38742,610.03165,612.13258,774.23267,723.01276,827.86562,430.88131,308.74980,649.72830,520.25684,381.36388,145.28833,571.39886,586.97599
gene 164,309.91108,382.43606,343.24786,330.86582,334.64377,294.12342,229.32756,283.49381,357.67574,312.69639,317.29983,346.34152,268.57285,343.03629,184.84546,269.65559,327.66145,279.25257,280.43362,412.68050,148.81782,387.44898,181.47866,299.28729,338.15673,63.02259,302.53563,312.69639
gene 165,1787.42221,1816.29291,972.63299,1679.80176,1705.66574,1270.43109,1542.78929,1645.78642,1437.61081,1617.80208,1561.31401,1409.33324,1753.16883,1589.73070,1133.07314,1664.71194,1239.30453,1847.69404,1505.92245,2033.49163,1424.99509,1710.15502,1876.69427,1186.68671,1396.40397,251.42803,1552.35659,1589.73070
gene 166,222.79232,297.68097,381.23374,210.67786,364.52095,361.57774,472.00106,275.57942,289.78090,396.88226,329.08223,387.25896,402.63727,187.53878,401.68459,326.82334,284.39564,238.37927,314.35044,300.11992,257.94819,249.18173,278.46866,224.99935,285.19875,70.27286,309.63177,297.68097
gene 167,862.56161,719.61885,736.93833,863.34242,610.96891,710.03004,561.44929,1120.92791,408.33821,905.51294,932.71980,921.67344,752.85016,953.87874,728.48556,610.50741,953.75740,644.35613,1118.29113,613.49928,800.20162,729.94264,646.56520,875.10707,823.34764,167.13068,784.19487,752.85016
gene 168,172.54451,165.64044,228.50488,120.81842,253.24962,159.71681,171.09404,174.47001,204.46162,200.88032,195.74311,157.80682,171.83956,174.09039,108.45507,136.20468,175.46301,234.05247,166.85793,178.83652,187.99947,199.86325,221.73978,257.65596,174.83847,35.74701,183.71309,174.83847
gene 169,1382.65148,1841.35733,2014.06067,1521.51390,1201.71945,1594.41161,1768.95436,1901.04756,1893.40453,1895.71225,1734.89969,1818.94954,1605.88304,1274.34518,1264.31364,1594.14655,1360.75253,1477.60134,1783.40224,1490.82761,1922.20994,2139.61818,1352.08962,1728.77071,1573.94725,249.73886,1645.46361,1605.88304
gene 170,383.32761,362.64851,564.52525,411.59959,296.66926,286.91214,332.02506,539.42582,447.18555,364.13058,416.50386,446.82024,441.77124,437.27872,517.46200,346.40056,408.60981,331.95679,419.99764,357.64172,555.60756,503.51389,473.91181,471.44656,571.70092,81.25706,427.56291,419.99764
gene 171,1036.28555,1410.97003,1076.42258,1302.46075,1179.07447,1088.93928,1621.26146,1696.58592,881.56901,850.58846,1221.43051,1407.69146,1048.87956,1333.09101,1287.15989,1155.32131,1093.67821,1211.67597,964.67829,1179.02667,1175.24077,1443.38983,670.79613,1511.83240,774.48135,247.45976,1184.90123,1179.02667
gene 172,1786.57596,1082.99096,1071.87495,1283.09337,1574.61620,1643.52058,1153.50674,1129.27782,1703.79070,1945.94427,939.63661,964.35063,1644.86374,1441.49100,1474.32586,1772.87466,1384.10011,1378.93112,1852.67440,1377.75541,1881.90159,989.22851,1925.03114,1503.10988,1717.94068,315.11556,1464.93628,1474.32586
gene 173,574.47621,529.85357,650.24433,526.16540,526.32282,477.46370,651.96205,412.30403,544.44402,359.38382,558.53995,533.50481,504.87021,569.37925,361.91204,588.40717,470.52567,593.23587,507.49152,415.94828,569.50233,282.84185,765.54514,355.36474,379.08415,108.19986,508.35092,526.32282
gene 174,168.43603,211.43905,276.39468,223.75670,195.96148,252.76017,133.12556,220.73336,193.62385,227.69124,142.92653,204.82352,199.97651,242.51166,137.65017,137.83283,314.53996,142.07390,211.05984,179.38693,193.51308,209.65437,214.05965,161.84772,216.30399,43.79400,200.48331,204.82352
gene 175,1270.36280,1433.79480,1393.69000,1205.16046,1122.77720,1137.83172,1023.44077,905.98098,1195.49354,1103.69960,1221.98473,1191.49458,825.84026,1051.19297,835.56422,975.59799,1048.10119,1043.20105,1204.50890,1209.18917,1446.77016,1058.67116,1222.96952,1052.88396,768.67685,173.01100,1117.95514,1122.77720
gene 176,215.43458,198.36478,189.02766,255.41053,194.46044,290.16061,213.85073,164.75490,267.10767,269.99008,168.97319,197.64339,180.07351,228.86997,175.02131,199.42542,227.86989,134.91544,180.98285,227.52205,81.83913,192.99869,209.84317,221.40830,199.06021,42.73652,203.40034,199.06021
